고유값,과정명,훈련과정 ID,회차,훈련기관,총 훈련일수,총 훈련시간,과정시작일,과정종료일,NCS명,NCS코드,훈련비,정원,수강신청 인원,수료인원,수료율,만족도,지역,주소,과정페이지 링크,선도기업,파트너기관,매출 최소,실 매출 대비,매출 최대,2021년,2022년,2023년,2024년,2025년,2026년
AIG202000002866261,산업 프로젝트 기반 인공지능 빅데이터 분석가 과정,AIG20200000286626,1,글로벌아이티(IT)인재개발학원,120,960,2021-01-04,2021-07-06,빅데이터분석,20010105," 9,140,160 ",25,25,19,76%,70.8,서울 관악구,서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286626&tracseTme=1&trainstCstmrId=500020055899&crseTracseSe=C0061,,,"173,663,040","182,803,200","228,504,000","182,803,200",0,0,0,0,0
AIG202000002865922,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,AIG20200000286592,2,(주)솔데스크,120,960,2021-01-05,2021-06-28,IT시스템관리,20010301," 8,224,320 ",25,26,22,85%,87.9,서울 종로구,서울특별시 종로구 종로12길 15 (관철동 종로코아),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286592&tracseTme=2&trainstCstmrId=500020026366&crseTracseSe=C0061,,,"180,935,040","171,065,856","213,832,320","171,065,856",0,0,0,0,0
AIG202000002865701,3D 기반 실감형(VR/AR) 콘텐츠 제작 전문가,AIG20200000286570,1,방송정보국제교육원,122,960,2021-01-05,2021-07-01,VR콘텐츠디자인,8020112," 7,011,840 ",25,23,17,74%,82.6,서울 영등포구,서울특별시 영등포구 당산동6가 당산로49길 4(태인빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286570&tracseTme=1&trainstCstmrId=500020042738&crseTracseSe=C0061,,,"119,201,280","129,017,856","161,272,320","129,017,856",0,0,0,0,0
AIG202000002865741,라이다 및 영상인식기반 모빌리티 자율주행 솔루션 실무과정,AIG20200000286574,1,연희직업전문학교(주),139,1100,2021-01-11,2021-08-11,응용SW엔지니어링,20010202," 10,300,400 ",20,23,17,74%,80.7,인천 서구,인천광역시 서구 서곶로 284 (심곡동 새터빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286574&tracseTme=1&trainstCstmrId=500020041301&crseTracseSe=C0061,,,"175,106,800","189,527,360","236,909,200","189,527,360",0,0,0,0,0
AIG202000002865251,[K-디지털 유형1] 인공지능을 활용한 빅데이터 서비스 플랫폼 개발자,AIG20200000286525,1,경북산업직업전문학교,144,1000,2021-01-11,2021-08-05,빅데이터분석,20010105," 9,521,000 ",25,25,19,76%,90.7,대구 동구,대구광역시 동구 동부로 121,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286525&tracseTme=1&trainstCstmrId=500020019775&crseTracseSe=C0061,,,"180,899,000","190,420,000","238,025,000","190,420,000",0,0,0,0,0
AIG202000003135289,부스트캠프 AI Tech,AIG20200000313528,9,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,24,21,88%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=9&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"304,920,000","278,784,000","348,480,000","278,784,000",0,0,0,0,0
AIG202000003135285,부스트캠프 AI Tech,AIG20200000313528,5,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,18,16,89%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=5&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"232,320,000","209,088,000","261,360,000","209,088,000",0,0,0,0,0
AIG202000003135282,부스트캠프 AI Tech,AIG20200000313528,2,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,21,17,81%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=2&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"246,840,000","243,936,000","304,920,000","243,936,000",0,0,0,0,0
AIG202000003135288,부스트캠프 AI Tech,AIG20200000313528,8,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,14,12,86%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=8&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"174,240,000","162,624,000","203,280,000","162,624,000",0,0,0,0,0
AIG202000003135286,부스트캠프 AI Tech,AIG20200000313528,6,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,24,18,75%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=6&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"261,360,000","278,784,000","348,480,000","278,784,000",0,0,0,0,0
AIG202000003135284,부스트캠프 AI Tech,AIG20200000313528,4,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,22,14,64%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=4&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"203,280,000","255,552,000","319,440,000","255,552,000",0,0,0,0,0
AIG202000003135281,부스트캠프 AI Tech,AIG20200000313528,1,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,22,19,86%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=1&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"275,880,000","255,552,000","319,440,000","255,552,000",0,0,0,0,0
AIG2020000031352810,부스트캠프 AI Tech,AIG20200000313528,10,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,16,13,81%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=10&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"188,760,000","185,856,000","232,320,000","185,856,000",0,0,0,0,0
AIG202000003135287,부스트캠프 AI Tech,AIG20200000313528,7,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,21,19,90%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=7&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"275,880,000","243,936,000","304,920,000","243,936,000",0,0,0,0,0
AIG202000003135283,부스트캠프 AI Tech,AIG20200000313528,3,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,19,14,74%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=3&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"203,280,000","220,704,000","275,880,000","220,704,000",0,0,0,0,0
AIG202000002866101,협동로봇 SI 양성과정,AIG20200000286610,1,광운대학교,81,600,2021-01-25,2021-05-25,로봇소프트웨어개발,19030803," 4,909,200 ",20,17,14,82%,88.6,서울 노원구,서울특별시 노원구 광운로 20 (월계동 광운대학교),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286610&tracseTme=1&trainstCstmrId=500020062049&crseTracseSe=C0061,,,"68,728,800","66,765,120","83,456,400","66,765,120",0,0,0,0,0
AIG202000002865941,산업용 자율주행로봇 제어 테크니션 양성과정,AIG20200000286594,1,광운대학교,81,600,2021-01-25,2021-05-25,로봇소프트웨어개발,19030803," 4,909,200 ",20,19,14,74%,88.8,서울 노원구,서울특별시 노원구 광운로 20 (월계동 광운대학교),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286594&tracseTme=1&trainstCstmrId=500020062049&crseTracseSe=C0061,,,"68,728,800","74,619,840","93,274,800","74,619,840",0,0,0,0,0
AIG202000003135471,[멀티잇]웹 서비스 개발자 취업캠프(Java),AIG20200000313547,1,멀티캠퍼스,73,584,2021-01-25,2021-05-12,빅데이터플랫폼구축,20010209," 14,229,600 ",28,26,20,77%,86.3,서울 강남구,서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313547&tracseTme=1&trainstCstmrId=500020039927&crseTracseSe=C0061,,,"284,592,000","295,975,680","369,969,600","295,975,680",0,0,0,0,0
AIG202000003135472,[멀티잇]웹 서비스 개발자 취업캠프(Java),AIG20200000313547,2,멀티캠퍼스,73,584,2021-01-25,2021-05-12,빅데이터플랫폼구축,20010209," 14,229,600 ",28,25,10,40%,86.3,서울 강남구,서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313547&tracseTme=2&trainstCstmrId=500020039927&crseTracseSe=C0061,,,"142,296,000","284,592,000","355,740,000","284,592,000",0,0,0,0,0
AIG202000002866022,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,AIG20200000286602,2,더조은컴퓨터아카데미 종로,123,977,2021-01-28,2021-07-26,빅데이터분석,20010105," 9,302,010 ",25,30,26,87%,85.2,서울 종로구,서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286602&tracseTme=2&trainstCstmrId=500020027870&crseTracseSe=C0061,,,"241,852,260","223,248,240","279,060,300","223,248,240",0,0,0,0,0
AIG202000002865361,"자바, 파이썬을 활용한 RPA 구축 실무자 양성 과정",AIG20200000286536,1,(재)한국아이티교육재단 한국IT직업전문학교,125,1000,2021-01-28,2021-07-28,응용SW엔지니어링,20010202," 8,564,000 ",25,19,6,32%,84.2,서울 서초구,서울특별시 서초구 바우뫼로20길 8 (양재동 다산빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286536&tracseTme=1&trainstCstmrId=500020018492&crseTracseSe=C0061,,,"51,384,000","130,172,800","162,716,000","130,172,800",0,0,0,0,0
AIG202000002866262,산업 프로젝트 기반 인공지능 빅데이터 분석가 과정,AIG20200000286626,2,글로벌아이티(IT)인재개발학원,120,960,2021-02-02,2021-08-27,빅데이터분석,20010105," 9,140,160 ",25,25,16,64%,70.8,서울 관악구,서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286626&tracseTme=2&trainstCstmrId=500020055899&crseTracseSe=C0061,,,"146,242,560","182,803,200","228,504,000","182,803,200",0,0,0,0,0
AIG202000003135591,우아한테크코스 웹 백엔드,AIG20200000313559,1,(주)우아한형제들,173,1295,2021-02-02,2021-11-12,응용SW엔지니어링,20010202," 15,345,750 ",52,43,41,95%,98.4,서울 송파구,서울특별시 송파구 위례성대로 2,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313559&tracseTme=1&trainstCstmrId=500033553840&crseTracseSe=C0061,(주)우아한형제들,(주)우아한형제들,"629,175,750","527,893,800","659,867,250","527,893,800",0,0,0,0,0
AIG202000002865651,스마트팩토리실무인재양성,AIG20200000286565,1,대한상공회의소부산인력개발원,164,1200,2021-02-17,2021-10-26,기계소프트웨어개발,15030102," 9,534,000 ",25,24,19,79%,91.9,부산 남구,부산광역시 남구 신선로 454-20 (용당동 대한상공회의소),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286565&tracseTme=1&trainstCstmrId=500020018517&crseTracseSe=C0061,,,"181,146,000","183,052,800","228,816,000","183,052,800",0,0,0,0,0
AIG202000002866512,산업IoT 시스템반도체 설계 전문가,AIG20200000286651,2,대한상공회의소 서울기술교육센터,129,900,2021-02-24,2021-08-27,응용SW엔지니어링,20010202," 15,007,500 ",20,22,14,64%,93.6,서울 강서구,서울특별시 강서구 화곡로 179 (화곡동 대한상공회의소서울기술교육센터),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286651&tracseTme=2&trainstCstmrId=500020051182&crseTracseSe=C0061,,,"210,105,000","264,132,000","330,165,000","264,132,000",0,0,0,0,0
AIG202000002866023,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,AIG20200000286602,3,더조은컴퓨터아카데미 종로,123,977,2021-02-24,2021-08-18,빅데이터분석,20010105," 9,302,010 ",25,25,18,72%,85.2,서울 종로구,서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286602&tracseTme=3&trainstCstmrId=500020027870&crseTracseSe=C0061,,,"167,436,180","186,040,200","232,550,250","186,040,200",0,0,0,0,0
AIG202000002866112,핀테크 디지털 금융사이언티스트 양성과정,AIG20200000286611,2,아시아경제 교육센터,113,900,2021-03-02,2021-08-09,핀테크기술기획,20010108," 8,568,900 ",25,23,17,74%,80.4,서울 중구,서울특별시 중구 퇴계로 166 (주자동 흥국빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286611&tracseTme=2&trainstCstmrId=500020049185&crseTracseSe=C0061,,,"145,671,300","157,667,760","197,084,700","157,667,760",0,0,0,0,0
AIG202000002866582,인공지능 기반 디지털 전환 구현과정,AIG20200000286658,2,한경닷컴IT교육센터,126,997,2021-03-03,2021-08-31,응용SW엔지니어링,20010202," 17,134,440 ",18,17,15,88%,81.4,서울 영등포구,서울특별시 영등포구 양산로 53 (양평동3가 월드메르디앙비즈센터),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286658&tracseTme=2&trainstCstmrId=500020045827&crseTracseSe=C0061,,,"257,016,600","233,028,384","291,285,480","233,028,384",0,0,0,0,0
AIG202000002865923,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,AIG20200000286592,3,(주)솔데스크,120,960,2021-03-03,2021-08-27,IT시스템관리,20010301," 8,224,320 ",25,29,23,79%,87.9,서울 종로구,서울특별시 종로구 종로12길 15 (관철동 종로코아),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286592&tracseTme=3&trainstCstmrId=500020026366&crseTracseSe=C0061,,,"189,159,360","190,804,224","238,505,280","190,804,224",0,0,0,0,0
AIG202000003130102,AI 부트캠프,AIG20200000313010,2,주식회사코드스테이츠,140,1120,2021-03-04,2021-09-23,인공지능모델링,20010703," 20,328,000 ",70,60,51,85%,77.1,서울 강남구,서울특별시 강남구 테헤란로 415 (삼성동 L7 HOTELS 강남타워),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313010&tracseTme=2&trainstCstmrId=500038435553&crseTracseSe=C0061,,,"1,036,728,000","975,744,000","1,219,680,000","975,744,000",0,0,0,0,0
AIG202000002866472,프로젝트 기반 AI빅데이터 융합인재 양성 과정,AIG20200000286647,2,부산대학교산학협력단,120,960,2021-03-08,2021-08-26,빅데이터분석,20010105," 15,408,000 ",20,20,14,70%,71.9,부산 금정구,부산광역시 금정구 부산대학로63번길 2,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286647&tracseTme=2&trainstCstmrId=500034391173&crseTracseSe=C0061,,,"215,712,000","246,528,000","308,160,000","246,528,000",0,0,0,0,0
AIG202000002865252,[K-디지털 유형1] 인공지능을 활용한 빅데이터 서비스 플랫폼 개발자,AIG20200000286525,2,경북산업직업전문학교,144,1000,2021-03-08,2021-10-12,빅데이터분석,20010105," 9,521,000 ",25,24,19,79%,90.7,대구 동구,대구광역시 동구 동부로 121,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286525&tracseTme=2&trainstCstmrId=500020019775&crseTracseSe=C0061,,,"180,899,000","182,803,200","228,504,000","182,803,200",0,0,0,0,0
AIG202000003135473,[멀티잇]웹 서비스 개발자 취업캠프(Java),AIG20200000313547,3,멀티캠퍼스,73,584,2021-03-08,2021-06-17,빅데이터플랫폼구축,20010209," 14,229,600 ",28,21,18,86%,86.3,서울 강남구,서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313547&tracseTme=3&trainstCstmrId=500020039927&crseTracseSe=C0061,,,"256,132,800","239,057,280","298,821,600","239,057,280",0,0,0,0,0
AIG202000003135474,[멀티잇]웹 서비스 개발자 취업캠프(Java),AIG20200000313547,4,멀티캠퍼스,73,584,2021-03-08,2021-06-17,빅데이터플랫폼구축,20010209," 14,229,600 ",28,24,16,67%,86.3,서울 강남구,서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313547&tracseTme=4&trainstCstmrId=500020039927&crseTracseSe=C0061,,,"227,673,600","273,208,320","341,510,400","273,208,320",0,0,0,0,0
AIG202000002888927,멋쟁이사자처럼 AI/데이터 스쿨,AIG20200000288892,7,주식회사멋쟁이사자처럼,55,385,2021-03-08,2021-05-25,인공지능플랫폼구축,20010701," 14,520,000 ",30,29,24,83%,84.2,서울 종로구,서울특별시 종로구 종로3길 17 (청진동 D타워),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000288892&tracseTme=7&trainstCstmrId=500037933544&crseTracseSe=C0061,,,"348,480,000","336,864,000","421,080,000","336,864,000",0,0,0,0,0
AIG202000002888926,멋쟁이사자처럼 AI/데이터 스쿨,AIG20200000288892,6,주식회사멋쟁이사자처럼,55,385,2021-03-08,2021-05-25,인공지능플랫폼구축,20010701," 14,520,000 ",30,30,26,87%,84.2,서울 종로구,서울특별시 종로구 종로3길 17 (청진동 D타워),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000288892&tracseTme=6&trainstCstmrId=500037933544&crseTracseSe=C0061,,,"377,520,000","348,480,000","435,600,000","348,480,000",0,0,0,0,0
AIG202000002888925,멋쟁이사자처럼 AI/데이터 스쿨,AIG20200000288892,5,주식회사멋쟁이사자처럼,55,385,2021-03-08,2021-05-25,인공지능플랫폼구축,20010701," 14,520,000 ",30,28,24,86%,84.2,서울 종로구,서울특별시 종로구 종로3길 17 (청진동 D타워),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000288892&tracseTme=5&trainstCstmrId=500037933544&crseTracseSe=C0061,,,"348,480,000","325,248,000","406,560,000","325,248,000",0,0,0,0,0
AIG202000002888924,멋쟁이사자처럼 AI/데이터 스쿨,AIG20200000288892,4,주식회사멋쟁이사자처럼,55,385,2021-03-08,2021-05-25,인공지능플랫폼구축,20010701," 14,520,000 ",30,29,21,72%,84.2,서울 종로구,서울특별시 종로구 종로3길 17 (청진동 D타워),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000288892&tracseTme=4&trainstCstmrId=500037933544&crseTracseSe=C0061,,,"304,920,000","336,864,000","421,080,000","336,864,000",0,0,0,0,0
AIG202000002866483,인공지능 융합서비스 개발자 과정(NCS),AIG20200000286648,3,스마트인재개발원,116,928,2021-03-10,2021-08-10,인공지능서비스기획,20010702," 13,340,920 ",25,25,22,88%,89.7,광주 동구,광주광역시 동구 금남로3가 중앙로 196,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286648&tracseTme=3&trainstCstmrId=500020018488&crseTracseSe=C0061,,,"293,500,240","266,818,400","333,523,000","266,818,400",0,0,0,0,0
AIG202000002866802,클라우드기반 데이터 보안 전문가 양성과정,AIG20200000286680,2,인포섹 아카데미,120,960,2021-03-12,2021-08-27,보안엔지니어링,20010206," 14,247,360 ",24,24,18,75%,84.9,경기 성남시 분당구,경기도 성남시 분당구 판교로227번길 23 (삼평동 판교R&D센터),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286680&tracseTme=2&trainstCstmrId=500020056274&crseTracseSe=C0061,,,"256,452,480","273,549,312","341,936,640","273,549,312",0,0,0,0,0
AIG202000002866622,클라우드 보안 융합전문가 양성과정,AIG20200000286662,2,인포섹 아카데미,120,960,2021-03-12,2021-08-27,보안엔지니어링,20010206," 14,651,520 ",24,24,13,54%,86.7,경기 성남시 분당구,경기도 성남시 분당구 판교로227번길 23 (삼평동 판교R&D센터),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286662&tracseTme=2&trainstCstmrId=500020056274&crseTracseSe=C0061,,,"190,469,760","281,309,184","351,636,480","281,309,184",0,0,0,0,0
AIG202000002866922,블록체인 기반 핀테크 및 응용 SW 개발자 양성과정,AIG20200000286692,2,주식회사경일게임아이티아카데미,193,1544,2021-03-12,2021-12-17,응용SW엔지니어링,20010202," 13,223,430 ",25,21,14,67%,84.9,서울 강동구,서울특별시 강동구 천호동 올림픽로 651(예경빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286692&tracseTme=2&trainstCstmrId=500020031484&crseTracseSe=C0061,,,"185,128,020","222,153,624","277,692,030","222,153,624",0,0,0,0,0
AIG202000002865581,[뉴딜 일자리] 비대면 서비스 5G ・ AI 활용 영상보안,AIG20200000286558,1,한국IT교육원,128,961,2021-03-15,2021-09-16,NW엔지니어링,20010205," 8,230,000 ",20,10,5,50%,60,대구 동구,대구광역시 동구 동대구로 566 (신암동),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286558&tracseTme=1&trainstCstmrId=500020048147&crseTracseSe=C0061,,,"41,150,000","65,840,000","82,300,000","65,840,000",0,0,0,0,0
AIG202000002888872,PBL 센서데이터 활용 빅데이터 전문가 양성과정,AIG20200000288887,2,한양대학교 산학협력단,110,880,2021-03-15,2021-08-17,빅데이터분석,20010105," 17,828,800 ",24,24,22,92%,76.4,서울 성동구,서울특별시 성동구 왕십리로 222,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000288887&tracseTme=2&trainstCstmrId=500020015858&crseTracseSe=C0061,,,"392,233,600","342,312,960","427,891,200","342,312,960",0,0,0,0,0
AIG202000002866612,융복합 AI 응용서비스 개발 실무,AIG20200000286661,2,비트교육센터,122,976,2021-03-15,2021-09-03,응용SW엔지니어링,20010202," 10,723,310 ",25,18,14,78%,83.2,서울 서초구,서울특별시 서초구 서초동 서초대로74길 33(비트빌),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286661&tracseTme=2&trainstCstmrId=500020028183&crseTracseSe=C0061,,,"150,126,340","154,415,664","193,019,580","154,415,664",0,0,0,0,0
AIG202000002866603,빅데이터 분석서비스 개발자과정(NCS),AIG20200000286660,3,스마트인재개발원,116,928,2021-03-15,2021-08-13,응용SW엔지니어링,20010202," 13,762,240 ",25,25,23,92%,85.4,광주 동구,광주광역시 동구 금남로3가 중앙로 196,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286660&tracseTme=3&trainstCstmrId=500020018488&crseTracseSe=C0061,,,"316,531,520","275,244,800","344,056,000","275,244,800",0,0,0,0,0
AIG202000002866562,파이썬 기반 응용AI 개발자 양성과정,AIG20200000286656,2,아시아경제 교육센터,113,900,2021-03-15,2021-08-23,인공지능서비스기획,20010702," 9,926,100 ",25,25,20,80%,84.5,서울 중구,서울특별시 중구 퇴계로 166 (주자동 흥국빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286656&tracseTme=2&trainstCstmrId=500020049185&crseTracseSe=C0061,,,"198,522,000","198,522,000","248,152,500","198,522,000",0,0,0,0,0
AIG202000002866113,핀테크 디지털 금융사이언티스트 양성과정,AIG20200000286611,3,아시아경제 교육센터,113,900,2021-03-15,2021-08-23,핀테크기술기획,20010108," 8,568,900 ",25,23,16,70%,80.4,서울 중구,서울특별시 중구 퇴계로 166 (주자동 흥국빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286611&tracseTme=3&trainstCstmrId=500020049185&crseTracseSe=C0061,,,"137,102,400","157,667,760","197,084,700","157,667,760",0,0,0,0,0
AIG202000002866604,빅데이터 분석서비스 개발자과정(NCS),AIG20200000286660,4,스마트인재개발원,116,928,2021-03-17,2021-08-19,응용SW엔지니어링,20010202," 13,762,240 ",25,25,25,100%,85.4,광주 동구,광주광역시 동구 금남로3가 중앙로 196,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286660&tracseTme=4&trainstCstmrId=500020018488&crseTracseSe=C0061,,,"344,056,000","275,244,800","344,056,000","275,244,800",0,0,0,0,0
AIG202000002866484,인공지능 융합서비스 개발자 과정(NCS),AIG20200000286648,4,스마트인재개발원,116,928,2021-03-17,2021-08-19,인공지능서비스기획,20010702," 13,340,920 ",25,25,23,92%,89.7,광주 동구,광주광역시 동구 금남로3가 중앙로 196,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286648&tracseTme=4&trainstCstmrId=500020018488&crseTracseSe=C0061,,,"306,841,160","266,818,400","333,523,000","266,818,400",0,0,0,0,0
AIG202000002866683,지능형 IoT 융합SW 전문가과정(NCS),AIG20200000286668,3,스마트인재개발원,110,880,2021-03-18,2021-08-13,응용SW엔지니어링,20010202," 12,418,560 ",25,25,23,92%,94.3,광주 동구,광주광역시 동구 금남로3가 중앙로 196,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286668&tracseTme=3&trainstCstmrId=500020018488&crseTracseSe=C0061,,,"285,626,880","248,371,200","310,464,000","248,371,200",0,0,0,0,0
